Starting up http-server, serving web-admin/dist/daedalus-web-admin/browser

http-server version: 14.1.1

http-server settings:
CORS: disabled
Cache: 3600 seconds
Connection Timeout: 120 seconds
Directory Listings: visible
AutoIndex: visible
Serve GZIP Files: false
Serve Brotli Files: false
Default File Extension: none

Available on:
  http://127.0.0.1:4200
  http://192.168.0.2:4200
Hit CTRL-C to stop the server

[2026-09-08T17:08:49.204Z]  "GET /chunk-ORVD53QP.js" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-08T17:08:49.205Z]  "GET /chunk-RMA36GQ4.js" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-08T17:08:49.216Z]  "GET /rest-api/auth/status" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-08T17:08:49.218Z]  "GET /rest-api/auth/status" Error (404): "Not found"
[2026-09-08T17:08:49.223Z]  "GET /chunk-TTJRUZ2Z.js" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-08T17:08:49.228Z]  "GET /chunk-PLZPWC3K.js" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-08T17:08:49.229Z]  "GET /chunk-TXJ6Z6HB.js" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-08T17:08:49.253Z]  "GET /chunk-VNKJN4F4.js" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-08T17:08:49.254Z]  "GET /chunk-ZI65DRRC.js" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-08T17:08:49.254Z]  "GET /chunk-PW3JQNF4.js" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-08T17:08:49.418Z]  "GET /chunk-CBLL6IAV.js" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-08T17:08:49.424Z]  "GET /rest-api/tenants/default" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-08T17:08:49.425Z]  "GET /rest-api/tenants/default" Error (404): "Not found"
[2026-09-08T17:08:49.427Z]  "GET /rest-api/tenants/default/summary" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-08T17:08:49.429Z]  "GET /rest-api/tenants/default/metrics/tsdb?resolution=5&startTime=1788886729&endTime=1788887329" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-08T17:08:49.430Z]  "GET /rest-api/tenants/default/summary" Error (404): "Not found"
[2026-09-08T17:08:49.430Z]  "GET /rest-api/tenants/default/metrics/tsdb?resolution=5&startTime=1788886729&endTime=1788887329" Error (404): "Not found"
[2026-09-08T17:08:49.531Z]  "GET /assets/brand/Daedalous.svg" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-08T17:08:49.610Z]  "GET /assets/images/avatars/Icon-avatar.png" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-08T17:08:51.375Z]  "GET /rest-api/tenants/default/scheduled-jobs?cursor=&pageSize=20" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-08T17:08:51.377Z]  "GET /rest-api/tenants/default/scheduled-jobs?cursor=&pageSize=20" Error (404): "Not found"
[2026-09-08T17:08:51.677Z]  "GET /rest-api/tenants/default/vnamespaces?cursor=&pageSize=20&q=" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-08T17:08:51.679Z]  "GET /rest-api/tenants/default/vnamespaces?cursor=&pageSize=20&q=" Error (404): "Not found"
http-server stopped.
