Starting up http-server, serving web-admin/dist/daedalus-web-admin/browser

http-server version: 14.1.1

http-server settings:
CORS: disabled
Cache: 3600 seconds
Connection Timeout: 120 seconds
Directory Listings: visible
AutoIndex: visible
Serve GZIP Files: false
Serve Brotli Files: false
Default File Extension: none

Available on:
  http://127.0.0.1:4200
  http://192.168.0.2:4200
Hit CTRL-C to stop the server

[2026-09-09T03:11:59.984Z]  "GET /" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
(node:3335201) [DEP0066] DeprecationWarning: OutgoingMessage.prototype._headers is deprecated
(Use `node --trace-deprecation ...` to show where the warning was created)
[2026-09-09T03:12:00.552Z]  "GET /rest-api/tenants/default" Error (404): "Not found"
[2026-09-09T03:12:00.553Z]  "GET /rest-api/tenants/default/summary" Error (404): "Not found"
[2026-09-09T03:12:00.554Z]  "GET /rest-api/tenants/default/metrics/tsdb?resolution=5&startTime=1788922920&endTime=1788923520" Error (404): "Not found"
[2026-09-09T03:12:00.648Z]  "GET /assets/brand/Daedalous.svg" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-09T03:12:00.971Z]  "GET /assets/images/avatars/Icon-avatar.png" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-09T03:12:02.406Z]  "GET /rest-api/tenants/default/scheduled-jobs?cursor=&pageSize=20" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-09T03:12:02.407Z]  "GET /rest-api/tenants/default/scheduled-jobs?cursor=&pageSize=20" Error (404): "Not found"
[2026-09-09T03:12:02.711Z]  "GET /rest-api/tenants/default/vnamespaces?cursor=&pageSize=20&q=" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-09T03:12:02.717Z]  "GET /rest-api/tenants/default/vnamespaces?cursor=&pageSize=20&q=" Error (404): "Not found"
[2026-09-09T03:12:02.723Z]  "GET /rest-api/tenants/default/vnamespaces?cursor=&pageSize=20&q=" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36"
[2026-09-09T03:12:02.727Z]  "GET /rest-api/tenants/default/vnamespaces?cursor=&pageSize=20&q=" Error (404): "Not found"
